기간,총지수,농축수산물,공업제품,전기·수도·가스,집세,공공서비스,개인서비스
2015.01,99.49,98.81,100,106.6,98.91,98.9,98.71
2015.02,99.56,100.42,99.62,106.6,99.03,98.79,98.93
2015.03,99.47,97.94,100.12,101.95,99.17,99.01,99.26
2015.04,99.63,99.02,99.65,101.95,99.43,99.04,99.82
2015.05,99.82,101.06,100.17,97.86,99.67,99.09,99.96
2015.06,99.83,100.78,100.36,97.86,99.88,99.11,99.77
2015.07,100.26,100.61,100.3,95.42,100.09,101.16,100.51
2015.08,100.51,102.09,100.35,95.42,100.32,101.17,100.79
2015.09,100.36,101.93,99.86,97.25,100.54,100.93,100.53
2015.10,100.33,99.6,99.66,99.69,100.73,100.96,100.67
2015.11,100.18,97.18,100,99.69,100.97,100.89,100.36
2015.12,100.55,100.56,99.91,99.69,101.27,100.96,100.7
2016.01,100.63,101.74,99.44,95.72,101.51,101.46,101.32
2016.02,101.03,106.19,99.37,95.72,101.63,101.44,101.59
2016.03,100.71,103.29,99.32,91.72,101.83,101.46,101.76
2016.04,100.88,102.64,99.62,91.72,101.97,101.47,102.14
2016.05,100.92,100.88,99.78,89.94,102.14,101.56,102.64
2016.06,100.87,98.58,100.24,89.94,102.35,101.49,102.54
2016.07,100.76,99.05,99.96,82.59,102.62,101.69,103.18
2016.08,101.15,101.69,100.1,82.59,102.83,101.71,103.59
2016.09,101.72,110.41,100.1,82.59,103.04,101.55,103.44
2016.10,101.86,107.12,100.26,89.76,103.11,101.54,103.42
2016.11,101.73,105.51,100.04,91.94,103.31,101.46,103.18
2016.12,101.89,107.72,100.25,87.5,103.55,101.54,103.49
2017.01,102.77,112.46,100.61,87.54,103.68,102.38,104.46
2017.02,103,112.56,101.03,87.54,103.93,102.34,104.74
2017.03,103.07,112.28,100.93,88.69,104.12,102.22,104.88
2017.04,102.98,110.18,100.39,88.69,104.31,102.33,105.45
2017.05,103.12,110.8,100.65,89.47,104.56,102.43,105.18
2017.06,102.97,109.76,100.93,89.47,104.72,102.29,104.64
2017.07,103.28,110.62,100.53,89.45,104.83,102.54,105.73
2017.08,103.89,116.73,100.83,89.45,104.95,102.55,106.1
2017.09,103.78,117.03,100.86,89.45,105,102.35,105.7
2017.10,103.52,109.68,101.19,89.45,105.09,102.27,106.1
2017.11,102.86,106.52,100.95,86,105.25,102.04,105.32
2017.12,103.16,108.73,101.13,86,105.26,102.1,105.64
2018.01,103.57,111.42,100.99,86,105.4,102.86,106.15
2018.02,104.32,117.41,101.42,86,105.47,102.82,106.93
2018.03,104.31,113.84,101.49,86,105.54,102.65,107.66
2018.04,104.55,114.43,101.61,86,105.66,102.59,108.19
2018.05,104.56,112.06,101.93,86,105.71,102.68,108.34
2018.06,104.19,108.27,102.07,86,105.72,102.62,107.8
2018.07,104.16,109.45,101.84,81.21,105.72,102.67,108.36
2018.08,105.04,120.68,101.89,81.21,105.82,102.64,108.8
2018.09,105.7,126.33,102.1,87.43,105.88,102.42,108.77
2018.10,105.33,118.2,102.44,87.43,105.92,102.39,108.93
2018.11,104.77,112.66,102.13,87.43,105.95,102.26,108.61
2018.12,104.49,111.43,101.42,87.43,105.97,102.24,108.65
2019.01,104.54,111.37,100.96,87.43,106.01,102.72,109.03
2019.02,105.07,112.42,101.25,87.43,106.04,103.08,110.06
2019.03,104.86,110.18,101.36,87.43,106.04,103.08,109.74
2019.04,105.26,112.59,101.96,87.43,106.05,103.09,110
2019.05,105.31,111.04,102.48,87.43,106.04,103.04,109.97
2019.06,105.17,109.31,102.48,87.43,106,103.01,109.9
2019.07,104.91,107,102.25,83.11,106.04,103.12,110.35
2019.08,105.21,109.41,102.25,83.24,106.04,103.2,110.78
2019.09,105.57,115.36,102.47,88.98,106.06,101.67,110.41
