COFIX 통계 (단위 : %),,,
공시일,대상월,신규취급액기준 COFIX,잔액기준 COFIX
2015/12/15,2015/11,1.66,1.9
2015/11/16,2015/10,1.57,1.93
2015/10/15,2015/09,1.54,1.98
2015/09/15,2015/08,1.55,2.03
2015/08/17,2015/07,1.56,2.08
2015/07/15,2015/06,1.66,2.15
2015/06/15,2015/05,1.75,2.22
2015/05/15,2015/04,1.77,2.29
2015/04/15,2015/03,1.91,2.36
2015/03/16,2015/02,2.03,2.42
2015/02/16,2015/01,2.08,2.48
2015/01/15,2014/12,2.16,2.52
2016/12/15,2016/11,1.51,1.62
2016/11/15,2016/10,1.41,1.63
2016/10/17,2016/09,1.35,1.64
2016/09/19,2016/08,1.31,1.66
2016/08/16,2016/07,1.32,1.69
2016/07/15,2016/06,1.44,1.73
2016/06/15,2016/05,1.54,1.75
2016/05/16,2016/04,1.55,1.77
2016/04/15,2016/03,1.55,1.79
2016/03/15,2016/02,1.57,1.82
2016/02/15,2016/01,1.65,1.85
2016/01/15,2015/12,1.72,1.88
2017/12/15,2017/11,1.77,1.66
2017/11/15,2017/10,1.62,1.62
2017/10/16,2017/09,1.52,1.61
2017/09/15,2017/08,1.47,1.59
2017/08/16,2017/07,1.47,1.59
2017/07/17,2017/06,1.48,1.58
2017/06/15,2017/05,1.47,1.58
2017/05/15,2017/04,1.46,1.59
2017/04/17,2017/03,1.48,1.6
2017/03/15,2017/02,1.48,1.6
2017/02/15,2017/01,1.5,1.61
2017/01/16,2016/12,1.56,1.62
2018/12/17,2018/11,1.96,1.95
2018/11/15,2018/10,1.93,1.93
2018/10/15,2018/09,1.83,1.9
2018/09/17,2018/08,1.8,1.89
2018/08/16,2018/07,1.81,1.87
2018/07/16,2018/06,1.84,1.85
2018/06/15,2018/05,1.82,1.83
2018/05/15,2018/04,1.79,1.8
2018/04/16,2018/03,1.82,1.78
2018/03/15,2018/02,1.77,1.75
2018/02/19,2018/01,1.78,1.73
2018/01/15,2017/12,1.79,1.7
2019/10/15,2019/09,1.57,1.87
2019/09/16,2019/08,1.52,1.91
2019/08/16,2019/07,1.68,1.96
2019/07/15,2019/06,1.78,1.98
2019/06/17,2019/05,1.85,2
2019/05/15,2019/04,1.85,2.01
2019/04/15,2019/03,1.94,2.02
2019/03/15,2019/02,1.92,2.02
2019/02/15,2019/01,1.99,2.01
2019/01/15,2018/12,2.04,1.99
