date,google
2015-01-04,29
2015-01-11,29
2015-01-18,0
2015-01-25,87
2015-02-01,59
2015-02-08,30
2015-02-15,0
2015-02-22,0
2015-03-01,30
2015-03-08,0
2015-03-15,29
2015-03-22,31
2015-03-29,57
2015-04-05,87
2015-04-12,85
2015-04-19,0
2015-04-26,43
2015-05-03,29
2015-05-10,29
2015-05-17,0
2015-05-24,28
2015-05-31,41
2015-06-07,0
2015-06-14,28
2015-06-21,28
2015-06-28,29
2015-07-05,28
2015-07-12,0
2015-07-19,41
2015-07-26,27
2015-08-02,41
2015-08-09,0
2015-08-16,28
2015-08-23,0
2015-08-30,28
2015-09-06,28
2015-09-13,28
2015-09-20,29
2015-09-27,28
2015-10-04,28
2015-10-11,0
2015-10-18,0
2015-10-25,41
2015-11-01,27
2015-11-08,26
2015-11-15,26
2015-11-22,26
2015-11-29,53
2015-12-06,0
2015-12-13,28
2015-12-20,59
2015-12-27,0
2016-01-03,0
2016-01-10,26
2016-01-17,26
2016-01-24,0
2016-01-31,0
2016-02-07,0
2016-02-14,26
2016-02-21,26
2016-02-28,0
2016-03-06,26
2016-03-13,26
2016-03-20,26
2016-03-27,26
2016-04-03,51
2016-04-10,25
2016-04-17,25
2016-04-24,38
2016-05-01,52
2016-05-08,37
2016-05-15,25
2016-05-22,62
2016-05-29,50
2016-06-05,49
2016-06-12,0
2016-06-19,0
2016-06-26,25
2016-07-03,37
2016-07-10,0
2016-07-17,0
2016-07-24,25
2016-07-31,0
2016-08-07,51
2016-08-14,27
2016-08-21,52
2016-08-28,0
2016-09-04,26
2016-09-11,0
2016-09-18,25
2016-09-25,0
2016-10-02,49
2016-10-09,0
2016-10-16,25
2016-10-23,26
2016-10-30,26
2016-11-06,0
2016-11-13,75
2016-11-20,25
2016-11-27,36
2016-12-04,46
2016-12-11,47
2016-12-18,49
2016-12-25,50
2017-01-01,24
2017-01-08,0
2017-01-15,23
2017-01-22,37
2017-01-29,23
2017-02-05,22
2017-02-12,0
2017-02-19,44
2017-02-26,67
2017-03-05,22
2017-03-12,0
2017-03-19,0
2017-03-26,54
2017-04-02,0
2017-04-09,44
2017-04-16,22
2017-04-23,89
2017-04-30,23
2017-05-07,21
2017-05-14,24
2017-05-21,25
2017-05-28,24
2017-06-04,60
2017-06-11,36
2017-06-18,48
2017-06-25,49
2017-07-02,0
2017-07-09,25
2017-07-16,24
2017-07-23,35
2017-07-30,36
2017-08-06,94
2017-08-13,24
2017-08-20,24
2017-08-27,0
2017-09-03,47
2017-09-10,71
2017-09-17,0
2017-09-24,24
2017-10-01,27
2017-10-08,23
2017-10-15,70
2017-10-22,47
2017-10-29,23
2017-11-05,45
2017-11-12,32
2017-11-19,0
2017-11-26,64
2017-12-03,33
2017-12-10,65
2017-12-17,22
2017-12-24,0
2017-12-31,22
2018-01-07,21
2018-01-14,21
2018-01-21,63
2018-01-28,21
2018-02-04,0
2018-02-11,35
2018-02-18,42
2018-02-25,65
2018-03-04,22
2018-03-11,43
2018-03-18,32
2018-03-25,64
2018-04-01,31
2018-04-08,63
2018-04-15,0
2018-04-22,43
2018-04-29,21
2018-05-06,20
2018-05-13,100
2018-05-20,31
2018-05-27,31
2018-06-03,21
2018-06-10,30
2018-06-17,21
2018-06-24,21
2018-07-01,0
2018-07-08,41
2018-07-15,21
2018-07-22,21
2018-07-29,20
2018-08-05,30
2018-08-12,0
2018-08-19,40
2018-08-26,61
2018-09-02,51
2018-09-09,51
2018-09-16,21
2018-09-23,22
2018-09-30,41
2018-10-07,22
2018-10-14,21
2018-10-21,21
2018-10-28,22
2018-11-04,21
2018-11-11,32
2018-11-18,21
2018-11-25,42
2018-12-02,0
2018-12-09,22
2018-12-16,32
2018-12-23,35
2018-12-30,22
2019-01-06,0
2019-01-13,21
2019-01-20,21
2019-01-27,32
2019-02-03,23
2019-02-10,0
2019-02-17,0
2019-02-24,42
2019-03-03,0
2019-03-10,41
2019-03-17,61
2019-03-24,0
2019-03-31,21
2019-04-07,0
2019-04-14,51
2019-04-21,21
2019-04-28,21
2019-05-05,31
2019-05-12,40
2019-05-19,41
2019-05-26,0
2019-06-02,39
2019-06-09,30
2019-06-16,20
2019-06-23,30
2019-06-30,41
2019-07-07,41
2019-07-14,42
2019-07-21,43
2019-07-28,22
2019-08-04,21
2019-08-11,21
2019-08-18,0
2019-08-25,20
2019-09-01,19
2019-09-08,21
2019-09-15,58
2019-09-22,29
2019-09-29,39
